1. Opportunity Name,2. Region,3. County,4. Location,5. Type,6. Ensemble (if app.),7. Genre,8. Age,9. Level,10. Instruments,11. Other Tags,12. Cost,13. About Opportunity,14. When,15. Opportunity Website / Signup,16. Organisation Name,17. About Organisation,18. Organisation Website,19. Only for London/Local?,20. Extra Notes
Cornwall Youth Chamber Choir (Truro),South West,Cornwall,"Old Cathedral School, Truro, Cornwall - UK",Ensemble,Choir,Choral,All Ages,All Abilities,Singing,,£40 per term,"The choir meets every Thursday evening during term time from 6.30 pm till 8.00 pm in the Old Cathedral School. They perform a variety of styles of music, ranging from classical pieces such as Handel's Zadok the Priest, Mozart's Ave Verum and Haydn's The Heavens Are Telling, to modern songs like Eric Whitacre's The Seal Lullaby, John Rutter's Look At The World and Russell Pascoe's Celtic Blessing. They also perform lighter pieces such as You Raise Me, Goodnight Sweetheart, And So It Goes, and folk songs such as Londonderry Air. 

The CYCC has performed at various venues, including The Mince Theatre, Truro Cathedral, Carnglaze Caverns, The Eden Project, Tate St Ives and different churches where audiences have praised their high-quality performances and their ability to captivate listeners. 

In addition to their concerts, the choir participates in various educational and community activities, such as workshops, masterclasses and outreach programmes. 

The choir always seeks new members and welcomes singers of all ages and abilities. They are committed to providing a safe, supportive and enjoyable environment for everyone to grow and develop their musical skills while having fun. 

So, if you want to join a choir and make new friends, the Cornwall Youth Chamber Choir could be a perfect choice.

REHEARSALS

Rehearsals for the CYCC Youth Chamber Choir take place at The Old Cathedral School (OCS) from 6.30 pm to 8 pm. Parents should drop off and pick up their children from the entrance across the grass at the side of the Cathedral. Occasionally, the rehearsal venue may need to be changed; you will be notified of any changes via text.

We ask everyone to support the CYCC Facebook page and Twitter, as it is essential to keep a high profile and keep up to date with rehearsals and concerts.

If you are not at a rehearsal where times and dates are discussed, information will be emailed (and texted) to you, and you will be notified of any changes in time, date or rehearsal venue. We need everyone there for the parts to balance, so please make every effort to attend once you have committed to a concert and put the dates in your diary in advance.

We encourage friends who may be interested in singing with us to come along to an open rehearsal, and we love having friends and family at our concerts. 

Please note that the dress code for concerts, unless otherwise stated, is ALL BLACK: girls should wear a mid/long-sleeved top, below-knee skirts and tights (or trousers) and shoes; men/boys should wear long-sleeved button-up shirts, long trousers and black shoes. ",Thursdays 18:30 - 20:00,https://cmst.co.uk/cycc,Cornwall Music Service Trust,"By enabling students of all generations, backgrounds and communities to enjoy a LIFE including music making and participation, we seek to grow and support the HEALTH of a musical COMMUNITY for now and for the FUTURE.

Music for LIFE

We believe that music is not merely a hobby but a way of living which can positively impact everyone's emotional and physical wellbeing. At CMST, we aim to create an inclusive atmosphere of music making that all can enjoy, characterised by the care and compassion to enrich all of our students’ lives into the future.

Music for the FUTURE

We aim to inspire our students, encouraging imagination and creativity, and welcoming new developments in technology and innovation to allow ever wider access to Musical Education. We encourage environmental awareness and sustainability in order to secure the future of new and existing musical communities.

Music for the COMMUNITY

We recognise community is at the heart of music making. We respect people, value diversity, and are committed to encouraging inclusivity throughout the music community within Cornwall and beyond. We value and foster partnerships within the local community and businesses in order to create and sustain new musical opportunities for all, and to nurture happy and healthy musical communities.

Music for HEALTH

We believe that music can be a key to the better understanding of our own emotional responses, and to improving mental health - regardless of age, ability or ways of communicating. We are committed to promoting this understanding throughout Cornwall and beyond. Our ambition is to provide access to Music Therapy for all of those in need of its support, to overcome difficulties, and build resilience to brighten their futures.",https://cmst.co.uk,,
Cornwall Junior Choir (Truro),South West,Cornwall,"Old Cathedral School, Truro, Cornwall - UK",Ensemble,Choir,Choral,Primary school children,All Abilities,Singing,,£40 per term,"The Cornwall Junior Choir was established in January 2001 as part of an initiative to promote singing in primary schools in Cornwall. The National Foundation for Youth Music awarded the choir a grant under their Singing Challenge programme. The partnership between Truro Cathedral and Cornwall Council Music Service Department founded the choir, which comprises young singers from all over Cornwall.

The choir has performed in various venues, including traditional places like Truro Cathedral and unconventional locations such as Tate St Ives, Gwennap Pit, and The National Maritime Museum. They have also performed in other cathedrals in Gloucester, Exeter, and Scilly. Along with their regular commitments, the choir has shared what they have learned with their audiences and improved their skills and confidence. They have had the opportunity to perform with Aled Jones and participate in a ""Children in Need"" concert.

In September 2015, the choir's support structure changed slightly but maintained close ties with the Cathedral. The Cornwall Music Service Trust now oversees the choir, providing them with a secure future. The choir is excited about the possibilities for their future under this new arrangement.

Jo Saville - Musical Director

After a musical youth of Cornish brass bands and swing bands (flugel horn/trumpet/saxophone), along with singing in choirs, gigging with a soul band and gaining grade 8 piano, Jo graduated from Exeter University with a BA in music, where she performed for the Queen as part of the University Saxophone Quartet and was the Musical Director of the Jazz Orchestra. Jo also developed her love of singing further here, by performing in a gospel choir, jazz quintet and stage productions.

Following her PCGE from The Institute of Education (University of London), Jo taught music in many schools, in both classroom & peripatetic capacity,  and greatly enjoyed the varied experiences that this created. Years later, Jo has been at the helm of Rock Choir in Cornwall, creating a safe & fun space where members get to sing out some feel-good favourites each week and escape the stresses of daily life, whilst building friendships and experiencing some amazing performance opportunities along the way.  

Jo strongly believes that music is a powerful, positive force and loves that singing is accessible to everyone. She is really excited about working with the Cornwall Junior Choir for the foreseeable future. 

REHEARSALS

As previously, rehearsals run from 10-11.30 am (unless otherwise indicated by email or text)

Drop off and pick up are outside the Old Cathedral School, across the grass at the side of Truro Cathedral. (if you are not sure where that is, please ask).

We all must meet in one place! You will be notified of any changes. Please remember that no parking facilities are available at the Cathedral for Junior Choir parents.

As always, please encourage anyone who might like to be part of the choir to come along to a rehearsal to see what it is like; the first two Saturdays of the term will be held as ‘open rehearsals’, so the more, the merrier.

Subs per child per term are £40 and £70 for two siblings in the choir, and this is handled through the Cornwall Music Service Trust Website. 

Choir uniform - All Black unless otherwise stated (including black socks/tights and shoes)
COME ALONG

You're welcome to come along any Saturday in term-time from 10.00 - 11.30 at Truro Cathedral. We’ll meet at the entrance to The Old Cathedral School,  across the grass at the side of the Cathedral.

Choir secretary Julia Carter and musical director Jo Saville will be there to welcome you and answer any questions about the choir's organisation and activities.

The small mixed choir always welcomes new members. Anyone aged from 6 to 13 years can join. Young singers come from all over Cornwall weekly for expert tuition under the musical director.

 If you have any concerns or questions, please get in touch with Julia Carter (details below).

For more information about the Junior and Youth Choirs please contact Julia Carter: 07812 827 033 or 

01872 573 455 (eves) or email: julia@ccjc.org.uk",10:00 - 11:30 (enquire for dates),https://cmst.co.uk/cornwalljuniorchoir,Cornwall Music Service Trust,"By enabling students of all generations, backgrounds and communities to enjoy a LIFE including music making and participation, we seek to grow and support the HEALTH of a musical COMMUNITY for now and for the FUTURE.

Music for LIFE

We believe that music is not merely a hobby but a way of living which can positively impact everyone's emotional and physical wellbeing. At CMST, we aim to create an inclusive atmosphere of music making that all can enjoy, characterised by the care and compassion to enrich all of our students’ lives into the future.

Music for the FUTURE

We aim to inspire our students, encouraging imagination and creativity, and welcoming new developments in technology and innovation to allow ever wider access to Musical Education. We encourage environmental awareness and sustainability in order to secure the future of new and existing musical communities.

Music for the COMMUNITY

We recognise community is at the heart of music making. We respect people, value diversity, and are committed to encouraging inclusivity throughout the music community within Cornwall and beyond. We value and foster partnerships within the local community and businesses in order to create and sustain new musical opportunities for all, and to nurture happy and healthy musical communities.

Music for HEALTH

We believe that music can be a key to the better understanding of our own emotional responses, and to improving mental health - regardless of age, ability or ways of communicating. We are committed to promoting this understanding throughout Cornwall and beyond. Our ambition is to provide access to Music Therapy for all of those in need of its support, to overcome difficulties, and build resilience to brighten their futures.",https://cmst.co.uk,,
SuperStrings (Truro),South West,Cornwall,Cornwall - UK,Ensemble,String Ensemble,Orchestral,Unknown,Unknown ,"Violin, Viola, Cello, Double Bass",,Enquire for more info,"Prepare to be enchanted by CMST’s breathtaking musical supergroup the StringStrings Ensemble! This illustrious group harmoniously combines musicians with a range of abilities; specialising in violin, viola, cello, and double bass. This ensemble dynamically evolves with every term by amalgamating smaller ensembles from all around the county, culminating in a grand orchestral masterpiece. Their captivating concerts, frequently enhanced by percussion, woodwind, and brass accompaniment, are the highlight of each term. Under the mentorship of our dedicated teachers and with a substantial group size, they fearlessly tackle complex compositions, showcasing an unparalleled blend of talent, dedication, and sheer passion on the stage! 

At SuperString performances, the stage comes alive with a dynamic fusion of strings, brass, woodwind, and percussion talent! This collaboration gives students an incredible chance to perform within a larger-than-life orchestra, exploring a repertoire and vibrant sound that could otherwise be beyond their wildest musical dreams. Get ready to be part of this electrifying musical synergy!
Musical Director - Karen Frost

Having taught the violin and viola for over 30 years, Karen enjoys teaching a mix of ages and abilities and believes that every child, whatever their background should be given the opportunity to learn a musical instrument and experience the joy of playing in an ensemble for its life enhancing qualities.

Along with Superstrings she also directs the St. Austell Chamber Orchestra for pupils in the St. Austell/Roseland area, giving students an opportunity to play with others and enjoy a range of musical styles from pop to baroque!

Music making is an integral part of everyday life in Cornwall and in Karen’s spare time and she is actively involved in music making for many local orchestras and choral societies, notably Three Spires Singers, Truro Choral Society, Cornish Sinfonia and many more as well as performing with a professional string quartet which plays regularly for weddings and other events.
",10:00 - 11:30 (enquire for dates),https://cmst.co.uk/superstrings,Cornwall Music Service Trust,"By enabling students of all generations, backgrounds and communities to enjoy a LIFE including music making and participation, we seek to grow and support the HEALTH of a musical COMMUNITY for now and for the FUTURE.

Music for LIFE

We believe that music is not merely a hobby but a way of living which can positively impact everyone's emotional and physical wellbeing. At CMST, we aim to create an inclusive atmosphere of music making that all can enjoy, characterised by the care and compassion to enrich all of our students’ lives into the future.

Music for the FUTURE

We aim to inspire our students, encouraging imagination and creativity, and welcoming new developments in technology and innovation to allow ever wider access to Musical Education. We encourage environmental awareness and sustainability in order to secure the future of new and existing musical communities.

Music for the COMMUNITY

We recognise community is at the heart of music making. We respect people, value diversity, and are committed to encouraging inclusivity throughout the music community within Cornwall and beyond. We value and foster partnerships within the local community and businesses in order to create and sustain new musical opportunities for all, and to nurture happy and healthy musical communities.

Music for HEALTH

We believe that music can be a key to the better understanding of our own emotional responses, and to improving mental health - regardless of age, ability or ways of communicating. We are committed to promoting this understanding throughout Cornwall and beyond. Our ambition is to provide access to Music Therapy for all of those in need of its support, to overcome difficulties, and build resilience to brighten their futures.",https://cmst.co.uk,,
Carrick Strings (Falmouth),South West,Cornwall,"Falmouth School, Falmouth - UK",Ensemble,String Ensemble,Orchestral,All ages,All Abilities,"Violin, Viola, Cello, Double Bass",,£34 per term,"Carrick Strings was formed in October 2022 when the equivalent much loved ensemble - Fal River Strings - could no longer operate and was sorely missed.  Many of the Fal River Strings members managed to successfully integrate into other existing strings groups in Cornwall, but a few members were left stranded!  Hence the drive to create the Carrick Strings ensemble.

Ensemble playing is an important and motivating part of learning an instrument - to develop playing and listening techniques, working as a team with other players, opening up more opportunities and for the social aspects too. 

Carrick Strings tries to choose a varied repertoire from Classical, Film, Pop, Jazz to Cornish.  We invite young players of all ages and abilities and adapt the music according to ability.

Rehearsals take place at:

Falmouth School

Thursday’s, (term time only)

4:30pm - 5:30pm

Superstrings:

Carrick Strings is also part of the much bigger SuperStrings; the SuperStrings provide a vital role in music education in the community, providing opportunities for young musicians to learn and perform alongside more experienced musicians - it is a profoundly magical and exhilarating group to be a part of.

Lucetta Radcliffe - Musical Director of Carrick Strings in Falmouth

Lucetta Radcliffe is a teacher, musician and composer. She studied music at Goldsmiths College in London with a particular focus on composition. After her studies she moved to Cornwall and worked for National Foundation for Youth Music as a community musician for CYMAZ. She also collaborated with a variety of arts practitioners as part of Luminos and worked with young people to create participant-led and devised performances. After this she enjoyed teaching piano for many years and has worked as an Associate Lecturer in Music Theatre at Amata, Falmouth University. She performs (vocals, flute and accordion)  regularly with Radio Rio, a four piece Brazilian/Latin band and is the music director and conductor of River Notes, a community choir based in Falmouth. Most recently she has written a new musical called Bal Maiden and is currently producing it with Cobb Riddle and Spall Music Theatre company. This has given her the opportunity to return to her first musical love of composition. 

Fathyma Parker - Strings Teacher and Musician

Fathyma Parker is musician, violin teacher and eager orchestral player whose main occupation is looking after dogs! She is the mother of two young ambitious musicians. Music is her passion, hobby and joy. She is a member of several orchestras and has participated in a variety of ensembles including; String orchestra, chamber music and contemporary music ensembles.
Joining the Orchestra

We invite young string players of all ages and abilities; potential members are invited to a free taster session before being expected to commit to regular rehearsals and termly informal performances.

For enquiries or to book your free taster session, please contact:",Thursdays (term time) 16:30 - 17:30,https://cmst.co.uk/carrickstrings,Cornwall Music Service Trust,"By enabling students of all generations, backgrounds and communities to enjoy a LIFE including music making and participation, we seek to grow and support the HEALTH of a musical COMMUNITY for now and for the FUTURE.

Music for LIFE

We believe that music is not merely a hobby but a way of living which can positively impact everyone's emotional and physical wellbeing. At CMST, we aim to create an inclusive atmosphere of music making that all can enjoy, characterised by the care and compassion to enrich all of our students’ lives into the future.

Music for the FUTURE

We aim to inspire our students, encouraging imagination and creativity, and welcoming new developments in technology and innovation to allow ever wider access to Musical Education. We encourage environmental awareness and sustainability in order to secure the future of new and existing musical communities.

Music for the COMMUNITY

We recognise community is at the heart of music making. We respect people, value diversity, and are committed to encouraging inclusivity throughout the music community within Cornwall and beyond. We value and foster partnerships within the local community and businesses in order to create and sustain new musical opportunities for all, and to nurture happy and healthy musical communities.

Music for HEALTH

We believe that music can be a key to the better understanding of our own emotional responses, and to improving mental health - regardless of age, ability or ways of communicating. We are committed to promoting this understanding throughout Cornwall and beyond. Our ambition is to provide access to Music Therapy for all of those in need of its support, to overcome difficulties, and build resilience to brighten their futures.",https://cmst.co.uk,,
B-Sharp - Seaton Starz,South West,Devon,"Gatway Theatre, Seaton - UK",Workshop,,Rock,5 - 8,All abilities,,,"£6 per session, booked termly","Seaton Starz – Creative Music & Performing Arts Club for Children (Ages 5–8)
Seaton Starz is a fun, weekly after-school club where children aged 5–8 can explore music, drama, dance, and performing arts through games, activities, and creative workshops. Kids also get the chance to take part in regular mini performances, building confidence and having a blast along the way!
Inclusivity and Accessibility
We welcome all young people who want to make music, regardless of financial circumstances. Sessions are affordable, with subsidised and free places available for those who need them.
Try a Free Taster
Curious to see what Seaton Starz is all about? Children are welcome to attend a free taster session before signing up.
When & Where
Every Tuesday during term time
3:45 PM – 4:45 PM
📍 The Gateway Theatre, Fore Street, Seaton, EX12 2LE
👉 View on Google Maps 
Cost
£6.00 per session, booked termly","Tuesdays (term time), 15:45 - 16:45",https://bsharp.org.uk/weekly-music/seaton-starz/,BSharp,,,,
Brass Class Ottery St Mary,South West,Devon,Ottery St Mary - UK,Ensemble,Brass Ensemble,Orchestral,Young brass/percussion players,Beginner - Intermediate,,,Enquire for more info,"Brass Class takes place on Monday evenings during term time 7.30–8.30pm. Brass learners participate with others to make music outside of a school environment, get involved in local community events and regularly combine with the Ottery St Mary Silver Band and other brass band opportunities. Brass Class aims to provide a safe and enjoyable experience.",Mondays 19:30 - 20:30,https://www.musiceducationhub.org/site/young-people/making-music-in-your-area/,Brass Class Ottery St Mary,,,,
Bushell Youth Community Orchestra,South West,Devon,Newton Abbott - UK,Ensemble,Orchestra,Orchestral,Young musicians 8+,Beginner - Intermediate,,,Enquire for more info,Bushell Youth Community Orchestra is an exciting youth orchestra for all young musicians in Newton Abbot and Teignbridge.,Unknown,https://www.musiceducationhub.org/site/young-people/making-music-in-your-area/,Bushell Youth Community Orchestra,,,,
City of Sons: Youth Male Voice Choir,South West,Devon,"Mayflower Academy, Ham Drive, Dorset - UK",Ensemble,Choir,Choral,Young musicians,All abilities,,"Free, No Experience",Free,"Our new youth male voice choir, City of Sons, started in September 2023 and is now well established with boys from across the city.

Rehearsals: Free to attend and take place at Mayflower Academy, Ham Drive every Tuesday (term time) from 5-6pm.

New Members: Very welcome to attend; no audition required.

Where        Mayflower Academy, Ham Drive
Email        Ryan Jenkins at ryan.jenkins@mayfloweracademy.co.uk
Web        
www.instagram.com/cityofsons.ymvc",Tuesdays 17:00 - 18:00,https://www.plymouthyouthmusic.com/ensembles,Plymouth Youth Music Service,,,,
Cooperative Big Band,South West,Devon,"Lipson Cooperative Academy, Plymouth - UK",Ensemble,Jazz Band,Jazz,Youth ensemble,Intermediate - Advanced,,Free,Free,"The Cooperative Big Band (Coop BB) are a quality youth ensemble that has a highly regarded regional reputation that is currently on track to develop a national reputation.

This year they have performed at the Music For Youth (MFY) Regional Cornwall Festival and have qualified to perform at the Nationals in Birmingham for MFM. In addition, they have performed at many music festivals (Armed Forces Day main stage), corporate functions and local TV and radio opportunities.

This high-class ensemble consists of; a saxophone section, brass section, rhythm section and vocalist and has a varied repertoire covering many genres in addition to swing. It is run by 3 professional music tutors and is absolutely free to join!

If you play an instrument that fits the description above and you can read music, please come along on a Tuesday night 5-6.30pm (during Term Time only) at Lipson Cooperative Academy, Bernice Terrace, Plymouth PL4 7PG.​

Where        Lipson Cooperative Academy, Bernice Terrace, Plymouth PL4 7PG
Email        Plymouth Youth Music Service at youthmusic@plymouth.gov.uk
Web        
",Tuesdays 17:00 - 18:30,https://www.plymouthyouthmusic.com/ensembles,Plymouth Youth Music Service,,,,
Crediton Youth Orchestra,South West,Devon,"Crediton, Devon - UK",Ensemble,Orchestra,Orchestral,8 - 18,All Abilities,,Free,Free,"Age 8 - 18
Any instrument
Any standard (beginner to grade 8)
For more information please email
creditonyouthorchestra@gmail.com
​​
This website is currently being redesigned.
For all enquiries please contact Alison Golby on creditonyouthorchestra@gmail.com",Enquire for more info,https://www.creditonyouthorchestra.co.uk,Crediton Youth Orchestra,,,,
Dartmoor Strings,South West,Devon,Ashburton Arts Centre - UK,Ensemble,String Ensemble,Orchestral,10 - 18,Grade 4-8,,"Grade 4, Grade 5, Grade 6, Grade 7, Grade 8",£15 per session,"Run by professional string players and tutors, Lindsay Braga and Andrew Gillett, and supported by Devon Music Education Hub, we want to give young players (aged 10-18, of grade 5+) the chance to develop the skills of more advanced ensemble playing.  The group aims to explore sight-reading, confidence, listening, performance skills and technique and we hope players will have fun making music and friends in an encouraging atmosphere.  ",One saturday per half term (see website for more details),https://www.theviolinden.co.uk/dartmoor-strings,Dartmoor Strings,,,,
Devon Youth Saxophone Ensemble,South West,Devon,"King Edward VI Community College Ashburton Road, Totnes - UK",Ensemble,Woodwind Ensemble,Orchestral,Young saxophonists,Grade 4+,Saxophone,"Grade 4, Grade 5, Grade 6, Grade 7, Grade 8",Enquire for more info,"The Devon Youth Saxophone Ensemble is a new county-wide group for young saxophonists around Grade 4 and above. It offers the chance to develop ensemble skills, play fun and varied repertoire, and meet like-minded musicians. Starting on 16th November, the ensemble will explore chamber music for small and medium saxophone groups across six Gathering Days throughout the year, each running from 2:00–4:30pm.",Various dates throughout the year (see website for more details),https://devonyouthsax.co.uk,Devon Youth Saxophone Ensemble,,,,
(Moor to Sea) - Music for young people's Wellbeing,South West,Devon,"People's Parkfield, Paignton - UK",Workshop,,Various,All Ages,All Abilities,All,No Experience,,"Music for Young People’s Wellbeing. Moor to Sea at People’s Parkfield on Tuesday afternoons!
An open space for young people of all ages to connect, be creative and benefit from the therapeutic effects of music-making!
We offer access to individual and collaborative music making, especially for young people not currently in mainstream education wanting to explore the benefits of Music on Wellbeing.
Weekly sessions include creative musical exploration, opportunities to experience different ways of working creatively, to try out and develop skills or ideas and potentially work with people of different ages and stages. We use instruments – traditional, new and unusual, technology, voices. We encourage ideas, collaboration, listening and finding your way of being musical.
Our accessible session runs on a Tuesday afternoon via bookable slots. After an initial trial session, we ask people to commit to coming regularly so we can build relationships and have some continuity developing musical projects together over time. We understand that this is not always possible.
Moor to Sea provide support for people to connect, co-create and find a voice through music. We aim to increase access to music opportunities, and through music, increase access to life, wellbeing, education, employment and community. Young Peoples views may be captured and used to help us better understand the lived experience of music on young peoples wellbeing and agency. This project is funded through Local Motion, a collective exploration influencing systems change in Torbay
localmotion.org.uk/torbay
Please get in touch for more info.",Tuesday Afternoons (enquire for times),https://moortoseamusic.org.uk/music-for-young-peoples-wellbeing/,Moor to Sea Music Collective,,,,
(Moor to Sea) - Sounding Together,South West,Devon,"People's Parkfield, Paignton - UK",Workshop,,Various,All Ages,All Abilities,,"No Experience, Free",Free,"A monthly fun, free music for wellbeing group for people living with dementia and their family, friends and carers.
3rd Wednesday of the month, 2.30pm – 4.30pm at People’s Parkfield, Paignton
Join us in growing this new musical meet-up at People’s Parkfield!
We’re welcoming people living with dementia and those that support them to join us in creating this group space!
The wonderful Torbay Community Builders support alongside Moor to Sea. Social Prescribing link workers signpost to these sessions.
If you like listening to music, playing or singing, this session is for you. No musical experience required.
This is a dementia friendly, creative space we are hoping to build together.
Connecting, sharing and Sounding Together!
Sessions are hosted in an accessible space with parking, toilets and warm drinks all in easy reach!
Contact us for further details and to sign up.","3rd Wednesday of the month, 2.30pm – 4.30pm",https://moortoseamusic.org.uk/sounding-together/,Moor to Sea Music Collective,,,,
(Moor to Sea) - Early Years! Playing Together,South West,Devon,"Paignton Library, Paignton - UK",Workshop,,Early Years,0 - 4,All Abilities,,"No Experience, Free",Pay What you can,"A special and imaginative weekly musical playgroup for Early Years children and their childminders, parents or carers.
Sessions are tailored for children aged 0-4 with a focus on group music-making, multi-sensory imaginative play, fun musical games and songs. Co-hosted by Moor to Sea Music and Doorstep Arts, we offer a safe space for a parent or childminder to relax or join in with the fun, whilst children immerse themselves in musical play led by experienced Early Years practitioners.
We ask families to commit to a block of sessions enabling us to grow a supportive community around our early years children.
Contributions are via a sliding fee scale with bursary places available on request.
Toilets and changing facilities are available on site.
Parking is available nearby in Station Lane or Great Western car parks.
Childminders are very welcome to attend these sessions.
To book onto these sessions please email rach@moortoseamusic.org.uk or call the library on 01803 714460 to reserve a space.
Fee: We understand cost can be a barrier so we do not charge a set fee. Voluntary contributions help make our offer sustainable. We have a card reader!",Wednesdays 10:00 - 11:00,https://moortoseamusic.org.uk/early-years-playing-together/,Moor to Sea Music Collective,,,,
Moor To Sea at ASRUS with Play Torbay (Weds),South West,Devon,"Indigos Playground, Torbay - UK",Workshop,,Other,All Ages,SEND,,SEND,£3.00 per child and accompanying adults free,"ASRUS is a weekly evening group for young people with Autistic Spectrum Conditions (ASC) and their families.
The session runs as a weekly youth club during term times, with supported play focused experiences for all ages.
Wednesday’s 5.30 – 7.00pm at Indigos Playground
Thursday’s 5.30 – 7.00pm at Mayfield Hub Club
£3.00 per child and accompanying adults free
BOOKING is ESSENTIAL
Book here
Since Jan 2019, Moor To Sea have been providing a music component for this group. Music has now become an integral part of ASRUS Wednesdays, with some of the young people spending the majority or all of their time at the group in music.
There are options for focused 1:1 work, for young people who benefit from that, and group music making sessions, which have expanded as the confidence and skills of the young people has grown.
We approach everything from a sense of Play, but from within that, young people (and their adult family members!) have learned instrumental skills – piano, ukulele, saxophone, clarinet, drums, guitar and vocals, as well as experimenting with digital music, composing and learning to improvise and create pieces of music together.
Many of our musical journeys at ASRUS begin with a young person saying something like – “I wonder what would happen if…..” and off we all go together, to find out what indeed does happen.
Sessions are tailored for children aged 0-4 with a focus on group music-making, multi-sensory imaginative play, fun musical games and songs. Co-hosted by Moor to Sea Music and Doorstep Arts, we offer a safe space for a parent or childminder to relax or join in with the fun, whilst children immerse themselves in musical play led by experienced Early Years practitioners.
We ask families to commit to a block of sessions enabling us to grow a supportive community around our early years children.
Contributions are via a sliding fee scale with bursary places available on request.
Toilets and changing facilities are available on site.
Parking is available nearby in Station Lane or Great Western car parks.
Childminders are very welcome to attend these sessions.
To book onto these sessions please email rach@moortoseamusic.org.uk or call the library on 01803 714460 to reserve a space.
Fee: We understand cost can be a barrier so we do not charge a set fee. Voluntary contributions help make our offer sustainable. We have a card reader!",Wednesdays 17:30 - 19:00,https://moortoseamusic.org.uk/moor-to-sea-at-asrus-with-play-torbay/,Moor to Sea Music Collective,,,,
Moor To Sea at ASRUS with Play Torbay (Thurs),South West,Devon,"Mayfield Hub Club, Torbay - UK",Workshop,,Other,All Ages,SEND,,SEND,£3.00 per child and accompanying adults free,"ASRUS is a weekly evening group for young people with Autistic Spectrum Conditions (ASC) and their families.
The session runs as a weekly youth club during term times, with supported play focused experiences for all ages.
Wednesday’s 5.30 – 7.00pm at Indigos Playground
Thursday’s 5.30 – 7.00pm at Mayfield Hub Club
£3.00 per child and accompanying adults free
BOOKING is ESSENTIAL
Book here
Since Jan 2019, Moor To Sea have been providing a music component for this group. Music has now become an integral part of ASRUS Wednesdays, with some of the young people spending the majority or all of their time at the group in music.
There are options for focused 1:1 work, for young people who benefit from that, and group music making sessions, which have expanded as the confidence and skills of the young people has grown.
We approach everything from a sense of Play, but from within that, young people (and their adult family members!) have learned instrumental skills – piano, ukulele, saxophone, clarinet, drums, guitar and vocals, as well as experimenting with digital music, composing and learning to improvise and create pieces of music together.
Many of our musical journeys at ASRUS begin with a young person saying something like – “I wonder what would happen if…..” and off we all go together, to find out what indeed does happen.
Sessions are tailored for children aged 0-4 with a focus on group music-making, multi-sensory imaginative play, fun musical games and songs. Co-hosted by Moor to Sea Music and Doorstep Arts, we offer a safe space for a parent or childminder to relax or join in with the fun, whilst children immerse themselves in musical play led by experienced Early Years practitioners.
We ask families to commit to a block of sessions enabling us to grow a supportive community around our early years children.
Contributions are via a sliding fee scale with bursary places available on request.
Toilets and changing facilities are available on site.
Parking is available nearby in Station Lane or Great Western car parks.
Childminders are very welcome to attend these sessions.
To book onto these sessions please email rach@moortoseamusic.org.uk or call the library on 01803 714460 to reserve a space.
Fee: We understand cost can be a barrier so we do not charge a set fee. Voluntary contributions help make our offer sustainable. We have a card reader!",Thursdays 17:30 - 19:00,https://moortoseamusic.org.uk/moor-to-sea-at-asrus-with-play-torbay/,Moor to Sea Music Collective,,,,
Creative Roots with Moor to Sea,South West,Devon,Broadhempston Village Hall - UK,Workshop,,Other,All Ages,,,,£5.00 per child,"A playful, creative and musical space for young people and families to explore and create together.
 
Alternate Thursdays – 1:30pm – 3pm at Broadhempston Village Hall.
A suggested voluntary contribution of £5 per child per session enables us to work on the future sustainability of this group, however finances should not be considered a barrier.
Weekly sessions are creative and child-led. Musical explorations are geared towards Home and Alternatively Educated young people and their families. It is an opportunity to experience different ways of working with music, try out and develop skills and ideas and work with people of different ages. We use instruments – traditional, new and unusual – technology, and voices. We encourage ideas, collaboration, listening and finding your way of being creative and musical.
Moor to Sea work with people through music, in lots of different ways. We build projects around people, and collaborate with other musicians, creators and organisations. We prioritise access for people who are often excluded from other opportunities. We ask families to commit to a block of sessions, enabling us to grow a supportive community and develop projects together over time.
Sessions are hosted in an accessible space with parking, toilets and warm drinks all in easy reach!
Contact us for further details and to sign up.",Alternate Thursdays 13:30 - 15:00,https://moortoseamusic.org.uk/creative-roots-with-moor-to-sea/,Moor to Sea Music Collective,,,,
Architects of Sound Network- Moor to Sea,South West,Devon,Devon - UK,Network,,Other,,,,,,"Architects of Sound Network:
A meeting place where everything is led and decided by the network members.
Laying foundations, building creative journeys together.
A space to reflect together on the creation of new music.
Support for devising youth-led events, experiences and projects.",Enquire for more info,https://moortoseamusic.org.uk/architects-of-sound/,Moor to Sea Music Collective,,,,
